title,type,genres,imdb_score,tmdb_popularity
Knight Rider 2000,MOVIE,"['action', 'scifi']",4.5,7.945
Okupas,SHOW,"['drama', 'crime']",9.0,8.565
Hum Aapke Hain Koun..!,MOVIE,"['drama', 'romance', 'comedy']",7.5,6.314
Dil Se..,MOVIE,"['drama', 'romance']",7.5,7.811
Jerry Seinfeld: I'm Telling You for the Last Time,MOVIE,"['comedy', 'documentation']",7.9,5.822
H,SHOW,['comedy'],7.4,7.905
Sankofa,MOVIE,"['drama', 'european']",7.0,1.858
Herod's Law,MOVIE,"['comedy', 'crime', 'thriller']",7.8,10.506
Wild Tango,MOVIE,"['drama', 'music', 'romance']",6.7,5.092
The Last Days,MOVIE,"['drama', 'history', 'war', 'documentation']",7.9,3.766
Sam Kinison: Live in Vegas,MOVIE,"['comedy', 'music', 'documentation']",6.6,0.656
Bill Hicks: Revelations,MOVIE,"['comedy', 'documentation']",8.5,3.784
Bombay,MOVIE,"['drama', 'romance']",8.1,4.99
Escalona,SHOW,['drama'],,7.352
Mann,MOVIE,"['drama', 'romance']",6.1,2.595
Soldier,MOVIE,"['thriller', 'action', 'drama', 'romance']",6.2,3.623
Sam Kinison: Family Entertainment Hour,MOVIE,['comedy'],,1.84
Sinbad: Son of a Preacher Man,MOVIE,"['comedy', 'documentation']",6.8,1.536
Damini,MOVIE,"['drama', 'crime']",7.8,3.328
Hum Saath Saath Hain,MOVIE,"['romance', 'family', 'fantasy', 'drama']",6.2,7.865
Destiny,MOVIE,"['drama', 'history', 'comedy', 'romance']",7.1,3.287
Chronicle of a Disappearance,MOVIE,['drama'],6.9,2.099
Muthu,MOVIE,"['comedy', 'drama', 'action', 'romance']",7.6,3.576
Jeans,MOVIE,"['comedy', 'drama', 'romance']",6.4,3.393
Monty Python: Live at Aspen,MOVIE,"['comedy', 'documentation']",7.8,2.681
Minsara Kanavu,MOVIE,"['comedy', 'romance', 'drama']",6.7,2.316
Duplicate,MOVIE,"['comedy', 'action', 'crime', 'thriller']",5.5,4.112
Avvai Shanmugi,MOVIE,"['drama', 'comedy']",7.9,2.828
Anjaam,MOVIE,"['romance', 'crime', 'thriller', 'drama']",6.6,3.806
A Triumph of the Heart: The Ricky Bell Story,MOVIE,"['drama', 'sport']",7.2,1.533
Phir Bhi Dil Hai Hindustani,MOVIE,"['comedy', 'romance', 'drama']",6.1,7.778
Children of Shatila,MOVIE,"['documentation', 'history']",8.1,1.635
Bill Hicks: Relentless,MOVIE,['comedy'],,3.822
Tim Allen: Rewires America,MOVIE,"['comedy', 'documentation']",6.0,2.297
Bill Hicks: One Night Stand,MOVIE,['comedy'],,1.08
West Beirut,MOVIE,"['romance', 'drama', 'comedy', 'war', 'european']",7.6,3.308
Govindha Govindha,MOVIE,"['drama', 'action', 'crime']",6.6,1.248
Out of Life,MOVIE,"['drama', 'war', 'crime', 'european']",6.9,2.481
Gumrah,MOVIE,"['drama', 'action', 'crime', 'thriller']",6.1,1.763
Sinbad: Nothin' but the Funk,MOVIE,"['comedy', 'documentation']",6.3,1.83
Sinbad: Afros and Bellbottoms,MOVIE,"['comedy', 'documentation']",7.8,3.793
Fiza,MOVIE,"['romance', 'action', 'crime', 'drama', 'thriller']",6.0,2.835
Before the Flying Circus,MOVIE,"['comedy', 'documentation']",7.3,1.444
The Other,MOVIE,"['romance', 'european', 'drama']",5.9,1.12
Yodha,MOVIE,"['action', 'drama']",4.5,1.554
The Emigrant,MOVIE,['drama'],6.5,1.4
Hello Brother,MOVIE,"['comedy', 'romance', 'fantasy', 'action']",4.6,4.338
Dushmani,MOVIE,"['romance', 'action', 'drama']",5.0,2.045
One Last Shot,MOVIE,[],,1.89
Nightmare in Columbia County,MOVIE,"['drama', 'thriller', 'crime']",5.5,2.713
Have You Ever Seen Fireflies? - Theatre Play,MOVIE,['drama'],,1.396
Shikari,MOVIE,"['drama', 'action']",5.8,1.323
Breaking Bad,SHOW,"['drama', 'crime', 'thriller']",9.5,353.848
Top Gear,SHOW,"['comedy', 'reality', 'european', 'music']",8.7,45.549
The Walking Dead,SHOW,"['action', 'drama', 'scifi', 'horror', 'thriller']",8.2,597.277
Supernatural,SHOW,"['scifi', 'horror', 'thriller', 'drama', 'fantasy']",8.4,388.093
The Mist,MOVIE,"['horror', 'scifi', 'thriller']",7.1,37.369
Mean Girls,MOVIE,['comedy'],7.1,57.235
The Great British Baking Show,SHOW,"['reality', 'european']",8.6,5.581
30 Rock,SHOW,"['comedy', 'sport']",8.3,48.88
Borgen,SHOW,"['drama', 'european']",8.5,51.118
Community,SHOW,['comedy'],8.5,42.357
Catch Me If You Can,MOVIE,"['drama', 'crime']",8.1,72.321
Grey's Anatomy,SHOW,"['drama', 'romance']",7.6,803.786
Arrested Development,SHOW,['comedy'],8.7,30.131
Heartland,SHOW,"['drama', 'family']",8.4,74.638
The Staircase,SHOW,"['crime', 'documentation', 'drama']",7.8,10.922
Old School,MOVIE,"['comedy', 'european']",7.0,17.131
NCIS,SHOW,"['crime', 'action', 'thriller', 'drama', 'comedy']",7.8,251.622
Avatar: The Last Airbender,SHOW,"['scifi', 'animation', 'action', 'family', 'fantasy']",9.3,56.915
Anchorman: The Legend of Ron Burgundy,MOVIE,['comedy'],7.1,20.606
Friday Night Lights,SHOW,"['drama', 'sport']",8.7,19.681
The IT Crowd,SHOW,"['comedy', 'european']",8.5,31.031
